전용면적(㎡),계약년월,거래금액(만원),건축년도,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,거래유형,평수
59.9798,202301,15100.0,2013.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1438895
59.9798,202301,15100.0,2013.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1438895
46.25,202301,3200.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.990625
59.8769,202301,19600.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11276225
84.2922,202301,26000.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.498390499999996
84.9811,202301,27500.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70678275
59.8194,202301,18500.0,2018.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0953685
84.929,202301,19500.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6910225
60.0,202301,9000.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15
60.0,202301,9500.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15
59.83,202301,8500.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.098575
59.83,202301,10000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.098575
59.895,202301,12000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1182375
59.62,202301,9030.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03505
57.39,202301,4000.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.360475
27.18,202301,2300.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.22195
59.14,202301,4000.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.88985
59.526,202301,7000.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18.006615
84.937,202301,14000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6934425
27.36,202301,3250.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.276399999999999
56.97,202301,7700.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.233425
39.87,202301,5700.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.060674999999998
56.97,202301,8000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.233425
56.97,202301,8700.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.233425
59.43,202301,6600.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.977574999999998
39.48,202301,4700.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.942699999999999
59.43,202301,6800.0,1999.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.977574999999998
32.43,202301,3000.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.810075
47.01,202301,4200.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.220524999999999
59.85,202301,8450.0,2002.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.104625
64.564,202301,15200.0,2005.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.530609999999996
59.5144,202301,21500.0,2011.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.003106
76.39,202301,14000.0,1991.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.107975
84.991,202301,19600.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.709777499999998
58.86,202301,7500.0,1989.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.805149999999998
59.97,202301,11700.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.140925
59.97,202301,12000.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.140925
118.0531,202301,30500.0,2006.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.711062749999996
54.58,202301,12500.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51045
73.305,202301,15000.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1747625
84.907,202301,19000.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.684367499999997
73.305,202301,15900.0,1992.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1747625
47.01,202301,17400.0,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.220524999999999
39.99,202301,13490.0,1990.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.096975
59.946,202301,17500.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.133665
84.97,202301,23000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.703425
70.236,202301,21000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.24639
28.07,202301,5500.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.491175
28.07,202301,5000.0,1997.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.491175
59.97,202301,12300.0,1994.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.140925
84.975,202301,30500.0,2006.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.704937499999996
39.93,202301,6700.0,1988.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.078825
84.76,202301,23000.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6399
49.92,202301,15900.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1008
166.535,202301,37000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3768375
133.835,202301,29500.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4850875
59.905,202301,18000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1212625
59.905,202301,17000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1212625
166.535,202301,40300.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3768375
133.835,202301,33000.0,1996.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4850875
50.0,202301,14500.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.125
50.0,202301,14500.0,1995.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.125
84.9909,202301,30500.0,2006.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70974725
84.9909,202301,35500.0,2006.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.70974725
59.76,202301,15900.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.077399999999997
59.76,202301,14800.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.077399999999997
59.76,202301,15000.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.077399999999997
59.76,202301,15000.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.077399999999997
59.76,202301,14000.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.077399999999997
49.65,202301,13000.0,2001.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.019124999999999
84.92,202301,47700.0,2022.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.688299999999998
59.9027,202301,31000.0,2019.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.120566750000002
77.78,202301,39000.0,2021.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52845
59.7891,202301,23400.0,2015.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.086202749999998
59.99,202301,15500.0,1998.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.146975
